Main
dumpInside
len(self.queuesDict) > 0
[4, 8, 14, 9, 10, 1, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [4, 14, 8, 9, 10, 1, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 14, 8, 9, 10, 4, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3]
[4, 8, 9, 14, 10, 1, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [4, 8, 14, 9, 10, 1, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 8, 9, 10, 4, 5, 12, 16, 15, 7, 19, 13, 18, 14, 6, 11, 20, 17, 3]
[4, 8, 9, 10, 14, 1, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [4, 8, 9, 14, 10, 1, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 3, 9, 10, 4, 5, 12, 16, 15, 7, 19, 13, 18, 14, 6, 11, 20, 17, 8]
[4, 8, 9, 10, 1, 14, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [4, 8, 9, 10, 14, 1, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 3, 4, 10, 9, 5, 12, 16, 15, 7, 19, 13, 18, 14, 6, 11, 20, 17, 8]
[4, 8, 9, 10, 1, 5, 14, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 4, 8, 9, 10, 14, 5, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 3, 4, 5, 9, 10, 12, 16, 15, 7, 19, 13, 18, 14, 6, 11, 20, 17, 8]
[4, 8, 9, 10, 1, 5, 12, 14, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 4, 5, 8, 9, 10, 14, 12, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 3, 4, 5, 6, 10, 12, 16, 15, 7, 19, 13, 18, 14, 9, 11, 20, 17, 8]
[4, 8, 9, 10, 1, 5, 12, 14, 15, 16, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 4, 5, 8, 9, 10, 12, 14, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 3, 4, 5, 6, 7, 12, 16, 15, 10, 19, 13, 18, 14, 9, 11, 20, 17, 8]
[4, 8, 9, 10, 1, 5, 12, 14, 15, 7, 16, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 4, 5, 8, 9, 10, 12, 14, 16, 15, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 3, 4, 5, 6, 7, 8, 16, 15, 10, 19, 13, 18, 14, 9, 11, 20, 17, 12]
[4, 8, 9, 10, 1, 5, 12, 14, 15, 7, 16, 13, 19, 18, 2, 6, 11, 20, 17, 3] [1, 4, 5, 8, 9, 10, 12, 14, 15, 16, 7, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 10, 19, 13, 18, 14, 16, 11, 20, 17, 12]
[4, 8, 9, 10, 1, 5, 12, 14, 15, 7, 16, 13, 18, 19, 2, 6, 11, 20, 17, 3] [1, 4, 5, 7, 8, 9, 10, 12, 14, 15, 16, 19, 13, 18, 2, 6, 11, 20, 17, 3] [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 19, 13, 18, 14, 16, 11, 20, 17, 12]
